ParticipantId,ExperimentId,TrialNumber,time_allfaces_trial,above_median_trial
444a8c82-4c3f-4304-9005-f2c9f868f76a,259,4,20613,FALSE
444a8c82-4c3f-4304-9005-f2c9f868f76a,259,5,17823,FALSE
444a8c82-4c3f-4304-9005-f2c9f868f76a,259,6,17671,FALSE
444a8c82-4c3f-4304-9005-f2c9f868f76a,259,7,16765,FALSE
444a8c82-4c3f-4304-9005-f2c9f868f76a,259,8,16485,FALSE
63e265a2-b480-4d9b-b4ec-ea7d438cd227,261,1,26321,TRUE
63e265a2-b480-4d9b-b4ec-ea7d438cd227,261,2,35149,TRUE
63e265a2-b480-4d9b-b4ec-ea7d438cd227,261,3,20814,FALSE
63e265a2-b480-4d9b-b4ec-ea7d438cd227,261,4,21981,FALSE
63e265a2-b480-4d9b-b4ec-ea7d438cd227,261,5,23830,FALSE
63e265a2-b480-4d9b-b4ec-ea7d438cd227,261,6,26357,TRUE
63e265a2-b480-4d9b-b4ec-ea7d438cd227,261,7,19714,FALSE
63e265a2-b480-4d9b-b4ec-ea7d438cd227,261,8,23292,FALSE
ccea4046-e4cc-48b8-8cfd-d746ae18b558,263,1,97737,TRUE
ccea4046-e4cc-48b8-8cfd-d746ae18b558,263,2,17948,FALSE
ccea4046-e4cc-48b8-8cfd-d746ae18b558,263,3,21914,FALSE
ccea4046-e4cc-48b8-8cfd-d746ae18b558,263,4,18503,FALSE
ccea4046-e4cc-48b8-8cfd-d746ae18b558,263,5,19344,FALSE
ccea4046-e4cc-48b8-8cfd-d746ae18b558,263,6,19582,FALSE
ccea4046-e4cc-48b8-8cfd-d746ae18b558,263,7,16711,FALSE
ccea4046-e4cc-48b8-8cfd-d746ae18b558,263,8,15356,FALSE
64499f48-c64b-4686-971b-ab813a990789,268,1,34391,TRUE
64499f48-c64b-4686-971b-ab813a990789,268,2,14604,FALSE
64499f48-c64b-4686-971b-ab813a990789,268,3,15616,FALSE
64499f48-c64b-4686-971b-ab813a990789,268,4,16569,FALSE
64499f48-c64b-4686-971b-ab813a990789,268,5,23512,FALSE
64499f48-c64b-4686-971b-ab813a990789,268,6,18486,FALSE
64499f48-c64b-4686-971b-ab813a990789,268,7,20554,FALSE
64499f48-c64b-4686-971b-ab813a990789,268,8,17717,FALSE
aa11e4ec-dc5c-42fe-b7d0-c96d6fa0a1ef,270,1,33673,TRUE
aa11e4ec-dc5c-42fe-b7d0-c96d6fa0a1ef,270,2,43349,TRUE
aa11e4ec-dc5c-42fe-b7d0-c96d6fa0a1ef,270,3,25919,TRUE
aa11e4ec-dc5c-42fe-b7d0-c96d6fa0a1ef,270,4,29812,TRUE
aa11e4ec-dc5c-42fe-b7d0-c96d6fa0a1ef,270,5,22980,FALSE
aa11e4ec-dc5c-42fe-b7d0-c96d6fa0a1ef,270,6,22851,FALSE
aa11e4ec-dc5c-42fe-b7d0-c96d6fa0a1ef,270,7,21150,FALSE
aa11e4ec-dc5c-42fe-b7d0-c96d6fa0a1ef,270,8,20423,FALSE
21f8f1d5-014e-48f7-a030-131c1a860b4f,275,1,56947,TRUE
21f8f1d5-014e-48f7-a030-131c1a860b4f,275,2,28490,TRUE
21f8f1d5-014e-48f7-a030-131c1a860b4f,275,3,22852,FALSE
21f8f1d5-014e-48f7-a030-131c1a860b4f,275,4,22797,FALSE
21f8f1d5-014e-48f7-a030-131c1a860b4f,275,5,25397,TRUE
21f8f1d5-014e-48f7-a030-131c1a860b4f,275,6,28551,TRUE
21f8f1d5-014e-48f7-a030-131c1a860b4f,275,7,24618,FALSE
21f8f1d5-014e-48f7-a030-131c1a860b4f,275,8,23645,FALSE
ba30d81e-5183-4ead-a112-d6806f777c71,278,1,58034,TRUE
ba30d81e-5183-4ead-a112-d6806f777c71,278,2,94063,TRUE
ba30d81e-5183-4ead-a112-d6806f777c71,278,3,43188,TRUE
ba30d81e-5183-4ead-a112-d6806f777c71,278,4,46732,TRUE
ba30d81e-5183-4ead-a112-d6806f777c71,278,5,25872,TRUE
ba30d81e-5183-4ead-a112-d6806f777c71,278,6,32597,TRUE
ba30d81e-5183-4ead-a112-d6806f777c71,278,7,22877,FALSE
ba30d81e-5183-4ead-a112-d6806f777c71,278,8,29948,TRUE
056c9112-3634-4eed-a0a4-a841e05e8994,280,1,44249,TRUE
056c9112-3634-4eed-a0a4-a841e05e8994,280,2,24366,FALSE
056c9112-3634-4eed-a0a4-a841e05e8994,280,3,31228,TRUE
056c9112-3634-4eed-a0a4-a841e05e8994,280,4,31237,TRUE
056c9112-3634-4eed-a0a4-a841e05e8994,280,5,18194,FALSE
056c9112-3634-4eed-a0a4-a841e05e8994,280,6,18418,FALSE
056c9112-3634-4eed-a0a4-a841e05e8994,280,7,26077,TRUE
056c9112-3634-4eed-a0a4-a841e05e8994,280,8,17150,FALSE
ddadde87-ae75-4f34-8aeb-02756e3cd256,282,1,46777,TRUE
ddadde87-ae75-4f34-8aeb-02756e3cd256,282,2,24598,FALSE
ddadde87-ae75-4f34-8aeb-02756e3cd256,282,3,25462,TRUE
ddadde87-ae75-4f34-8aeb-02756e3cd256,282,4,22781,FALSE
ddadde87-ae75-4f34-8aeb-02756e3cd256,282,5,21102,FALSE
ddadde87-ae75-4f34-8aeb-02756e3cd256,282,6,23056,FALSE
ddadde87-ae75-4f34-8aeb-02756e3cd256,282,7,20617,FALSE
ddadde87-ae75-4f34-8aeb-02756e3cd256,282,8,21739,FALSE
a3770b31-4899-46cc-8f78-6ea4f4ce0049,285,1,22455,FALSE
a3770b31-4899-46cc-8f78-6ea4f4ce0049,285,2,20625,FALSE
a3770b31-4899-46cc-8f78-6ea4f4ce0049,285,3,21016,FALSE
a3770b31-4899-46cc-8f78-6ea4f4ce0049,285,4,19639,FALSE
a3770b31-4899-46cc-8f78-6ea4f4ce0049,285,5,23351,FALSE
a3770b31-4899-46cc-8f78-6ea4f4ce0049,285,6,18833,FALSE
a3770b31-4899-46cc-8f78-6ea4f4ce0049,285,7,13747,FALSE
a3770b31-4899-46cc-8f78-6ea4f4ce0049,285,8,18199,FALSE
